Cohort_meses_2;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Período;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU
2025-12;0,00%;;;;;;;;;;;;;;;;;;;;;;;;
2025-11;0,32%;0,37%;;;;;;;;;;;;;;;;;;;;;;;
2025-10;0,51%;1,80%;1,85%;;;;;;;;;;;;;;;;;;;;;;
2025-09;0,87%;1,89%;3,65%;4,08%;;;;;;;;;;;;;;;;;;;;;
2025-08;1,02%;1,76%;3,39%;15,61%;16,06%;;;;;;;;;;;;;;;;;;;;
2025-07;0,92%;1,62%;3,77%;14,28%;25,64%;26,17%;;;;;;;;;;;;;;;;;;;
2025-06;0,80%;1,45%;3,21%;14,15%;25,85%;33,25%;33,57%;;;;;;;;;;;;;;;;;;
2025-05;0,83%;1,51%;3,41%;12,64%;27,74%;34,77%;39,83%;40,00%;;;;;;;;;;;;;;;;;
2025-04;0,94%;1,58%;3,37%;10,15%;25,43%;33,62%;39,31%;43,62%;43,99%;;;;;;;;;;;;;;;;
2025-03;1,11%;1,86%;3,28%;12,01%;23,93%;31,18%;37,44%;41,80%;45,52%;45,61%;;;;;;;;;;;;;;;
2025-02;1,18%;1,63%;3,07%;8,31%;25,05%;33,35%;39,53%;44,72%;48,78%;52,08%;52,17%;;;;;;;;;;;;;;
2025-01;1,23%;1,80%;3,47%;9,19%;23,11%;30,62%;36,59%;41,50%;45,87%;49,56%;52,33%;52,44%;;;;;;;;;;;;;
2024-12;1,02%;1,64%;3,70%;10,83%;22,34%;29,99%;35,66%;40,35%;44,50%;48,32%;51,53%;54,26%;54,55%;;;;;;;;;;;;
2024-11;1,19%;1,73%;3,16%;8,30%;20,41%;29,46%;35,59%;40,71%;45,02%;48,90%;52,44%;56,05%;60,40%;60,52%;;;;;;;;;;;
2024-10;1,03%;2,07%;3,84%;8,36%;21,79%;30,17%;36,85%;41,92%;46,32%;50,23%;53,85%;57,62%;62,74%;66,38%;66,59%;;;;;;;;;;
2024-09;0,70%;2,21%;3,87%;8,49%;19,35%;28,84%;35,23%;40,87%;45,32%;49,32%;52,93%;56,78%;61,95%;66,41%;69,00%;69,14%;;;;;;;;;
2024-08;1,10%;1,83%;3,53%;9,50%;18,35%;26,67%;33,54%;38,69%;43,54%;47,53%;51,24%;55,10%;60,51%;65,17%;68,33%;70,42%;70,52%;;;;;;;;
2024-07;1,09%;1,66%;3,86%;10,35%;19,56%;27,77%;33,69%;39,57%;44,17%;48,47%;52,19%;56,14%;61,35%;65,84%;68,96%;71,46%;73,13%;73,25%;;;;;;;
2024-06;1,19%;1,95%;3,76%;9,53%;18,19%;26,78%;33,31%;38,53%;43,20%;47,33%;51,46%;55,19%;60,63%;65,22%;68,62%;71,27%;73,47%;75,09%;75,12%;;;;;;
2024-05;0,92%;1,64%;3,47%;9,07%;17,75%;26,50%;33,12%;38,21%;42,50%;47,04%;50,94%;55,12%;60,51%;65,17%;68,51%;71,11%;73,30%;75,14%;76,33%;76,39%;;;;;
2024-04;1,03%;1,72%;3,63%;9,43%;18,67%;26,90%;32,99%;38,08%;42,42%;46,43%;50,55%;54,49%;60,16%;64,65%;68,04%;70,67%;72,82%;74,68%;76,23%;77,35%;77,43%;;;;
2024-03;1,68%;2,52%;4,60%;11,65%;20,74%;28,16%;34,15%;38,93%;42,94%;46,70%;50,32%;54,26%;59,76%;64,74%;68,00%;70,59%;72,68%;74,50%;76,05%;77,39%;78,39%;78,42%;;;
2024-02;1,37%;1,98%;4,05%;10,76%;19,83%;27,74%;33,89%;38,87%;43,13%;46,78%;50,18%;53,81%;59,54%;64,38%;67,96%;70,51%;72,62%;74,36%;75,94%;77,29%;78,47%;79,36%;79,40%;;
2024-01;1,30%;2,22%;4,72%;11,42%;21,07%;29,17%;35,45%;40,44%;44,59%;48,37%;51,69%;55,23%;60,17%;65,83%;69,12%;71,87%;73,97%;75,73%;77,20%;78,57%;79,77%;80,84%;81,65%;81,70%;
2023-12;1,36%;2,39%;4,94%;10,37%;20,11%;27,37%;33,21%;38,01%;42,00%;45,69%;48,94%;52,19%;57,26%;61,97%;65,71%;68,38%;70,68%;72,42%;74,04%;75,47%;76,74%;77,93%;79,01%;79,82%;79,85%
2023-11;1,17%;1,99%;3,68%;9,10%;17,86%;25,87%;32,05%;37,01%;41,29%;45,06%;48,58%;52,23%;57,06%;62,05%;65,45%;68,42%;70,64%;72,61%;74,17%;75,57%;76,85%;78,12%;79,20%;80,24%;81,03%
2023-10;1,29%;2,14%;4,20%;9,45%;19,72%;27,58%;34,22%;39,50%;43,85%;47,70%;51,25%;54,78%;59,61%;64,09%;67,23%;69,65%;72,07%;73,93%;75,61%;76,93%;78,15%;79,28%;80,33%;81,31%;83,03%
2023-09;1,31%;2,10%;3,98%;9,18%;17,72%;25,67%;32,24%;37,83%;42,48%;46,50%;50,07%;53,57%;58,28%;63,24%;66,43%;69,03%;71,22%;73,23%;74,90%;76,47%;77,67%;78,85%;79,89%;80,92%;83,54%
2023-08;1,40%;2,15%;3,83%;9,33%;17,87%;24,80%;31,40%;36,56%;41,26%;45,40%;49,09%;52,78%;57,70%;62,51%;65,82%;68,31%;70,49%;72,31%;74,23%;75,69%;77,05%;78,24%;79,33%;80,33%;83,83%
2023-07;1,35%;2,21%;4,81%;10,51%;19,56%;27,27%;32,94%;38,32%;42,81%;46,94%;50,69%;54,38%;59,12%;63,45%;66,58%;69,07%;71,10%;72,92%;74,45%;76,03%;77,35%;78,57%;79,60%;80,57%;84,57%
2023-06;1,25%;1,99%;3,99%;9,44%;16,95%;24,51%;30,42%;35,47%;40,02%;44,15%;48,07%;51,81%;56,44%;61,05%;64,31%;66,97%;69,18%;70,98%;72,66%;74,12%;75,60%;76,88%;78,10%;79,14%;84,29%
2023-05;1,52%;2,52%;4,42%;8,98%;16,22%;23,77%;30,20%;35,00%;39,04%;43,48%;47,39%;51,48%;56,51%;61,09%;64,29%;66,89%;69,12%;70,99%;72,61%;74,08%;75,35%;76,81%;78,01%;79,15%;84,85%
2023-04;1,43%;2,25%;3,94%;8,32%;16,68%;23,83%;29,67%;34,58%;38,89%;42,75%;46,58%;50,54%;55,92%;60,67%;64,01%;66,68%;68,82%;70,62%;72,27%;73,65%;74,97%;76,29%;77,54%;78,66%;85,21%
2023-03;1,62%;2,40%;4,24%;10,51%;17,74%;24,99%;30,72%;35,38%;39,79%;43,55%;47,01%;51,10%;56,42%;61,06%;64,28%;66,86%;69,06%;70,89%;72,51%;73,92%;75,18%;76,35%;77,53%;78,79%;85,75%
2023-02;1,55%;2,31%;4,06%;9,39%;17,41%;24,39%;30,81%;35,92%;40,05%;43,94%;47,41%;50,92%;56,04%;61,08%;64,49%;67,12%;69,30%;71,08%;72,64%;74,04%;75,36%;76,50%;77,59%;78,72%;86,30%
2023-01;1,19%;2,81%;4,66%;9,77%;17,25%;25,21%;31,10%;36,08%;40,51%;44,29%;47,74%;51,23%;56,26%;61,25%;64,62%;67,35%;69,50%;71,30%;72,86%;74,26%;75,58%;76,75%;77,79%;78,85%;86,95%
;;;;;;;;;;;;;;;;;;;;;;;;;
"Filtros aplicados:
Cohort_meses_2 não é (Em branco) ou -1
plano é Black";;;;;;;;;;;;;;;;;;;;;;;;;
