Período;Vendas;Ativos;;
2025-12;32.829;32.828;;
2025-11;179.585;178.918;;
2025-10;199.613;195.913;;
2025-09;232.447;222.958;;
2025-08;231.870;194.621;;
2025-07;242.513;179.042;;
2025-06;206.376;137.102;;
2025-05;196.575;117.952;;
2025-04;194.176;108.767;;
2025-03;226.961;123.448;;
2025-02;245.148;117.257;;
2025-01;321.269;152.793;;
2024-12;136.295;61.946;;
2024-11;172.198;67.978;;
2024-10;196.375;65.610;;
2024-09;199.761;61.655;;
2024-08;205.997;60.734;;
2024-07;216.615;57.939;;
2024-06;178.133;44.320;;
2024-05;186.727;44.085;;
2024-04;204.136;46.073;;
2024-03;201.653;43.514;;
2024-02;199.781;41.156;;
2024-01;342.318;62.640;;
2023-12;134.897;27.184;;
2023-11;188.286;35.709;;
2023-10;196.342;33.320;;
2023-09;189.210;31.144;;
2023-08;209.290;33.845;;
2023-07;198.263;30.600;;
2023-06;158.840;24.948;;
2023-05;179.999;27.277;;
2023-04;161.809;23.926;;
2023-03;196.123;27.953;;
2023-02;183.484;25.139;;
2023-01;301.710;39.382;;
;;;;
"Filtros aplicados:
cohort_meses não é (Em branco)
plano é Black";;;;
