Cohort_meses_2;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Período;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU
2025-12;0,00%;;;;;;;;;;;;;;;;;;;;;;;;
2025-11;0,29%;0,39%;;;;;;;;;;;;;;;;;;;;;;;
2025-10;0,45%;2,99%;3,16%;;;;;;;;;;;;;;;;;;;;;;
2025-09;0,82%;3,36%;7,19%;7,83%;;;;;;;;;;;;;;;;;;;;;
2025-08;0,98%;3,30%;7,17%;18,48%;18,87%;;;;;;;;;;;;;;;;;;;;
2025-07;0,88%;3,48%;7,92%;18,59%;29,26%;29,81%;;;;;;;;;;;;;;;;;;;
2025-06;0,83%;3,26%;7,85%;19,07%;31,07%;38,77%;39,14%;;;;;;;;;;;;;;;;;;
2025-05;0,83%;3,12%;7,48%;17,09%;31,81%;39,14%;44,25%;44,40%;;;;;;;;;;;;;;;;;
2025-04;0,94%;3,01%;7,31%;15,80%;29,73%;38,03%;43,80%;48,04%;48,39%;;;;;;;;;;;;;;;;
2025-03;1,17%;3,42%;6,81%;16,79%;28,79%;36,19%;42,57%;46,99%;50,61%;50,69%;;;;;;;;;;;;;;;
2025-02;1,42%;2,80%;6,47%;13,30%;29,80%;38,71%;45,11%;50,28%;54,40%;57,58%;57,67%;;;;;;;;;;;;;;
2025-01;1,48%;3,35%;7,42%;14,91%;29,27%;37,53%;43,68%;48,55%;52,82%;56,35%;58,93%;59,03%;;;;;;;;;;;;;
2024-12;1,66%;5,51%;11,89%;20,38%;32,19%;39,92%;45,39%;49,70%;53,55%;56,92%;59,73%;62,03%;62,25%;;;;;;;;;;;;
2024-11;1,41%;3,22%;7,34%;14,30%;26,44%;36,10%;42,29%;47,28%;51,50%;55,11%;58,36%;61,58%;65,07%;65,17%;;;;;;;;;;;
2024-10;1,25%;3,34%;7,84%;14,44%;28,06%;37,40%;44,49%;49,52%;53,78%;57,35%;60,61%;63,85%;67,91%;70,87%;71,04%;;;;;;;;;;
2024-09;0,83%;3,45%;7,49%;14,27%;25,58%;36,05%;42,84%;48,59%;52,92%;56,66%;59,96%;63,30%;67,41%;71,05%;73,23%;73,36%;;;;;;;;;
2024-08;1,22%;3,30%;7,28%;14,77%;25,26%;34,65%;41,71%;46,91%;51,61%;55,26%;58,66%;61,99%;66,32%;70,14%;72,81%;74,57%;74,66%;;;;;;;;
2024-07;1,35%;3,58%;8,81%;16,65%;26,98%;36,02%;42,21%;47,99%;52,33%;56,31%;59,64%;63,02%;67,17%;70,82%;73,45%;75,55%;76,96%;77,06%;;;;;;;
2024-06;1,26%;3,59%;8,68%;16,40%;26,22%;35,96%;42,83%;48,00%;52,42%;56,23%;59,97%;63,15%;67,36%;71,01%;73,77%;75,93%;77,72%;79,08%;79,10%;;;;;;
2024-05;1,10%;3,02%;7,39%;14,69%;24,60%;34,49%;41,62%;46,89%;51,03%;55,21%;58,75%;62,43%;66,66%;70,47%;73,22%;75,38%;77,22%;78,77%;79,79%;79,83%;;;;;
2024-04;1,27%;3,02%;7,42%;14,93%;25,57%;34,90%;41,65%;46,87%;51,23%;54,96%;58,70%;62,16%;66,71%;70,37%;73,15%;75,32%;77,11%;78,68%;80,00%;80,93%;80,99%;;;;
2024-03;1,74%;3,43%;6,96%;15,18%;26,07%;34,26%;40,70%;45,67%;49,71%;53,44%;56,82%;60,34%;64,89%;69,19%;71,96%;74,19%;76,02%;77,63%;79,02%;80,21%;81,08%;81,11%;;;
2024-02;1,51%;3,11%;7,17%;15,48%;26,34%;35,12%;41,69%;46,86%;51,03%;54,58%;57,93%;61,19%;65,79%;69,76%;72,77%;74,91%;76,70%;78,19%;79,54%;80,69%;81,70%;82,48%;82,51%;;
2024-01;1,52%;3,69%;8,49%;16,96%;28,02%;36,82%;43,34%;48,39%;52,50%;56,10%;59,22%;62,33%;66,26%;70,86%;73,60%;75,89%;77,66%;79,15%;80,40%;81,56%;82,57%;83,48%;84,18%;84,22%;
2023-12;1,68%;5,49%;12,01%;20,01%;30,91%;38,58%;44,41%;49,03%;52,72%;56,09%;58,96%;61,71%;65,59%;69,21%;72,14%;74,27%;76,16%;77,61%;78,89%;80,04%;81,06%;82,02%;82,89%;83,54%;83,57%
2023-11;1,40%;3,41%;7,88%;15,57%;25,57%;34,35%;40,79%;45,76%;49,91%;53,48%;56,71%;59,94%;63,92%;67,96%;70,74%;73,23%;75,13%;76,84%;78,17%;79,36%;80,43%;81,48%;82,40%;83,26%;83,93%
2023-10;1,51%;3,58%;8,37%;15,53%;26,98%;35,68%;42,58%;47,78%;52,01%;55,63%;58,87%;62,00%;65,98%;69,61%;72,24%;74,28%;76,32%;77,91%;79,33%;80,47%;81,49%;82,44%;83,34%;84,18%;85,61%
2023-09;1,47%;3,41%;8,31%;15,93%;25,55%;34,39%;41,39%;46,95%;51,43%;55,15%;58,44%;61,57%;65,41%;69,35%;71,98%;74,17%;75,99%;77,69%;79,12%;80,45%;81,44%;82,41%;83,28%;84,13%;86,30%
2023-08;1,54%;3,44%;7,56%;15,39%;25,42%;32,85%;39,63%;44,83%;49,34%;53,20%;56,59%;59,90%;63,97%;67,90%;70,70%;72,82%;74,72%;76,28%;77,93%;79,19%;80,37%;81,37%;82,30%;83,16%;86,12%
2023-07;1,60%;3,88%;8,83%;16,24%;27,42%;36,07%;41,94%;47,51%;51,96%;55,87%;59,32%;62,53%;66,32%;69,77%;72,33%;74,44%;76,12%;77,63%;78,89%;80,23%;81,33%;82,35%;83,20%;84,02%;87,33%
2023-06;1,35%;3,75%;10,32%;18,50%;27,48%;36,65%;43,26%;48,40%;52,81%;56,66%;60,12%;63,26%;66,71%;70,03%;72,53%;74,57%;76,30%;77,72%;79,09%;80,21%;81,34%;82,33%;83,28%;84,07%;87,96%
2023-05;1,59%;3,80%;8,93%;16,42%;25,87%;34,63%;41,66%;46,84%;50,81%;54,96%;58,48%;61,85%;65,69%;69,13%;71,64%;73,71%;75,49%;77,00%;78,35%;79,54%;80,57%;81,73%;82,67%;83,60%;88,07%
2023-04;1,59%;3,64%;8,38%;15,54%;26,20%;34,66%;41,16%;46,29%;50,67%;54,34%;57,78%;61,15%;65,23%;68,82%;71,44%;73,53%;75,27%;76,73%;78,07%;79,17%;80,25%;81,28%;82,26%;83,16%;88,32%
2023-03;1,73%;3,75%;8,13%;16,68%;25,23%;33,31%;39,54%;44,38%;48,80%;52,62%;55,90%;59,53%;63,84%;67,55%;70,23%;72,38%;74,22%;75,79%;77,15%;78,37%;79,42%;80,41%;81,37%;82,41%;88,15%
2023-02;1,71%;3,44%;8,01%;15,86%;25,51%;33,67%;40,48%;45,77%;49,94%;53,73%;57,12%;60,26%;64,32%;68,27%;71,04%;73,19%;75,02%;76,51%;77,83%;79,01%;80,10%;81,06%;81,96%;82,86%;88,99%
2023-01;1,37%;4,12%;8,61%;16,34%;26,55%;35,61%;42,11%;47,37%;51,77%;55,41%;58,64%;61,69%;65,53%;69,28%;71,96%;74,16%;75,90%;77,36%;78,65%;79,81%;80,87%;81,81%;82,65%;83,49%;89,77%
;;;;;;;;;;;;;;;;;;;;;;;;;
"Filtros aplicados:
Cohort_meses_2 não é (Em branco) ou -1";;;;;;;;;;;;;;;;;;;;;;;;;
