Cohort_meses_2;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Período;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU;% QTDE_ATIVOS_ACU
2025-11;0,22%;0,40%;;;;;;;;;;;;;;;;;;;;;;;
2025-10;0,33%;6,24%;6,73%;;;;;;;;;;;;;;;;;;;;;;
2025-09;0,58%;7,95%;18,69%;19,98%;;;;;;;;;;;;;;;;;;;;;
2025-08;0,80%;8,82%;20,65%;33,17%;33,44%;;;;;;;;;;;;;;;;;;;;
2025-07;0,74%;11,20%;25,08%;39,11%;48,21%;48,71%;;;;;;;;;;;;;;;;;;;
2025-06;0,84%;9,01%;22,68%;37,03%;49,87%;57,82%;58,28%;;;;;;;;;;;;;;;;;;
2025-05;0,73%;8,12%;20,50%;33,47%;48,04%;55,76%;60,77%;60,88%;;;;;;;;;;;;;;;;;
2025-04;0,81%;7,85%;20,76%;35,35%;47,00%;55,39%;61,13%;64,90%;65,21%;;;;;;;;;;;;;;;;
2025-03;1,22%;8,57%;18,58%;33,93%;46,25%;53,82%;60,18%;64,47%;67,61%;67,65%;;;;;;;;;;;;;;;
2025-02;1,93%;5,80%;15,70%;27,24%;44,23%;54,34%;60,93%;65,71%;69,48%;72,18%;72,25%;;;;;;;;;;;;;;
2025-01;1,96%;6,91%;16,78%;28,91%;44,99%;54,70%;61,13%;65,69%;69,23%;72,24%;74,19%;74,26%;;;;;;;;;;;;;
2024-12;3,02%;14,04%;29,98%;42,13%;55,06%;62,67%;67,59%;71,19%;73,93%;76,29%;78,15%;79,45%;79,54%;;;;;;;;;;;;
2024-11;2,02%;7,57%;19,38%;31,64%;45,00%;55,38%;61,49%;66,05%;69,52%;72,39%;74,79%;76,76%;78,23%;78,27%;;;;;;;;;;;
2024-10;1,64%;6,48%;17,87%;29,55%;44,32%;55,41%;62,95%;67,71%;71,31%;74,08%;76,38%;78,34%;80,21%;81,49%;81,58%;;;;;;;;;;
2024-09;1,04%;6,59%;16,92%;29,33%;42,45%;54,80%;62,11%;67,66%;71,28%;74,26%;76,68%;78,71%;80,54%;82,16%;83,28%;83,37%;;;;;;;;;
2024-08;1,54%;7,44%;17,84%;29,75%;43,78%;55,48%;62,77%;67,86%;71,97%;74,65%;77,09%;79,05%;80,83%;82,50%;83,88%;84,82%;84,87%;;;;;;;;
2024-07;1,83%;8,25%;21,24%;32,98%;45,24%;56,37%;63,02%;68,53%;72,27%;75,32%;77,60%;79,57%;81,28%;82,77%;84,12%;85,30%;86,10%;86,18%;;;;;;;
2024-06;1,26%;7,28%;20,39%;32,91%;44,77%;56,45%;63,84%;68,81%;72,57%;75,59%;78,32%;80,20%;81,93%;83,43%;84,73%;85,84%;86,82%;87,59%;87,61%;;;;;;
2024-05;1,35%;6,46%;17,73%;29,71%;42,00%;54,37%;62,23%;67,80%;71,51%;74,79%;77,34%;79,56%;81,32%;82,90%;84,27%;85,39%;86,44%;87,39%;87,93%;87,96%;;;;;
2024-04;1,77%;6,53%;17,88%;30,22%;43,15%;54,87%;62,67%;67,87%;72,11%;75,14%;77,88%;80,04%;81,96%;83,52%;84,83%;85,94%;86,90%;87,81%;88,59%;89,10%;89,14%;;;;
2024-03;2,11%;7,02%;16,00%;29,00%;44,45%;54,44%;61,52%;66,74%;70,53%;74,02%;76,60%;78,82%;80,66%;82,61%;83,91%;85,09%;86,15%;87,12%;87,96%;88,65%;89,16%;89,18%;;;
2024-02;1,81%;6,14%;16,00%;29,00%;43,64%;53,80%;60,87%;65,99%;69,84%;72,86%;75,78%;78,11%;80,20%;82,03%;83,58%;84,78%;85,84%;86,73%;87,58%;88,25%;88,86%;89,35%;89,37%;;
2024-01;1,91%;7,60%;19,02%;32,40%;46,12%;56,43%;63,33%;68,31%;72,01%;75,02%;77,47%;79,50%;81,19%;83,12%;84,55%;85,81%;86,79%;87,66%;88,41%;89,03%;89,61%;90,15%;90,55%;90,58%;
2023-12;2,11%;11,86%;26,83%;40,00%;51,99%;60,48%;66,27%;70,47%;73,55%;76,18%;78,25%;80,01%;81,60%;83,04%;84,40%;85,54%;86,62%;87,42%;88,13%;88,78%;89,35%;89,87%;90,33%;90,68%;90,69%
2023-11;1,68%;6,38%;17,29%;29,88%;42,21%;52,84%;59,95%;64,92%;68,74%;71,82%;74,41%;76,64%;78,55%;80,35%;81,83%;83,29%;84,51%;85,68%;86,53%;87,27%;87,87%;88,47%;89,04%;89,54%;89,95%
2023-10;1,75%;6,46%;17,58%;29,00%;42,30%;53,08%;60,45%;65,47%;69,39%;72,45%;75,04%;77,28%;79,38%;81,15%;82,65%;83,89%;85,16%;86,18%;87,08%;87,82%;88,43%;88,99%;89,57%;90,10%;90,96%
2023-09;1,63%;5,92%;16,96%;29,35%;40,42%;51,20%;59,11%;64,58%;68,66%;71,82%;74,53%;76,89%;79,02%;80,99%;82,51%;83,89%;85,05%;86,15%;87,11%;88,00%;88,59%;89,18%;89,71%;90,21%;91,55%
2023-08;1,81%;6,44%;16,34%;29,49%;42,62%;51,40%;58,67%;63,94%;67,98%;71,12%;73,79%;76,19%;78,27%;80,13%;81,77%;83,05%;84,29%;85,29%;86,34%;87,16%;87,91%;88,48%;89,06%;89,58%;91,33%
2023-07;1,97%;7,06%;16,70%;27,45%;42,60%;52,27%;58,58%;64,45%;68,77%;72,19%;75,01%;77,28%;79,27%;81,11%;82,61%;83,97%;85,04%;85,98%;86,77%;87,66%;88,36%;89,01%;89,55%;90,09%;92,18%
2023-06;1,43%;5,90%;18,20%;29,74%;40,55%;51,17%;58,68%;63,97%;68,24%;71,72%;74,57%;76,97%;78,96%;80,74%;82,32%;83,62%;84,75%;85,72%;86,72%;87,44%;88,18%;88,82%;89,43%;89,93%;92,33%
2023-05;1,63%;5,65%;15,52%;27,11%;39,73%;49,67%;57,66%;63,39%;67,23%;70,96%;73,93%;76,27%;78,45%;80,29%;81,82%;83,13%;84,26%;85,29%;86,26%;87,07%;87,75%;88,49%;89,10%;89,73%;92,54%
2023-04;1,74%;5,69%;15,15%;26,46%;40,42%;50,26%;57,76%;63,22%;67,72%;71,10%;74,00%;76,46%;78,60%;80,48%;82,03%;83,28%;84,44%;85,43%;86,31%;87,04%;87,76%;88,39%;88,99%;89,60%;92,78%
2023-03;1,90%;6,35%;15,62%;28,50%;39,66%;48,56%;55,83%;61,03%;65,45%;69,37%;72,30%;75,04%;77,46%;79,44%;81,05%;82,43%;83,62%;84,68%;85,58%;86,45%;87,12%;87,81%;88,37%;89,02%;92,50%
2023-02;1,92%;5,38%;14,86%;26,92%;39,49%;49,01%;56,52%;62,16%;66,38%;69,98%;73,19%;75,69%;77,97%;80,06%;81,72%;83,08%;84,30%;85,33%;86,25%;87,06%;87,77%;88,41%;89,03%;89,56%;93,32%
2023-01;1,56%;6,01%;14,48%;26,03%;39,88%;50,10%;57,37%;62,96%;67,31%;70,73%;73,61%;76,01%;78,14%;80,12%;81,84%;83,26%;84,44%;85,42%;86,34%;87,18%;87,87%;88,52%;89,07%;89,62%;93,50%
;;;;;;;;;;;;;;;;;;;;;;;;;
"Filtros aplicados:
Cohort_meses_2 não é (Em branco) ou -1
plano é Smart";;;;;;;;;;;;;;;;;;;;;;;;;
