Período;Vendas;Ativos;;
2025-12;10.820;10.820;;
2025-11;89.564;89.204;;
2025-10;97.788;91.202;;
2025-09;93.770;75.033;;
2025-08;83.532;55.599;;
2025-07;74.736;38.332;;
2025-06;82.147;34.269;;
2025-05;81.389;31.839;;
2025-04;73.693;25.636;;
2025-03;87.006;28.143;;
2025-02;118.061;32.766;;
2025-01;190.491;49.039;;
2024-12;80.496;16.468;;
2024-11;79.172;17.206;;
2024-10;102.929;18.955;;
2024-09;101.519;16.884;;
2024-08;94.157;14.248;;
2024-07;110.677;15.298;;
2024-06;95.282;11.804;;
2024-05;91.047;10.958;;
2024-04;96.103;10.437;;
2024-03;69.505;7.522;;
2024-02;92.810;9.866;;
2024-01;160.688;15.137;;
2023-12;73.593;6.849;;
2023-11;91.168;9.166;;
2023-10;93.664;8.464;;
2023-09;101.788;8.606;;
2023-08;94.286;8.175;;
2023-07;109.287;8.548;;
2023-06;136.360;10.459;;
2023-05;132.011;9.847;;
2023-04;112.444;8.121;;
2023-03;106.831;8.007;;
2023-02;111.577;7.451;;
2023-01;216.299;14.065;;
;;;;
"Filtros aplicados:
cohort_meses não é (Em branco)
plano é Smart";;;;
