Período;Vendas;Ativos;;
2025-12;51.945;51.944;;
2025-11;321.947;320.703;;
2025-10;358.753;347.416;;
2025-09;394.701;363.788;;
2025-08;389.032;315.624;;
2025-07;387.895;272.273;;
2025-06;351.417;213.885;;
2025-05;344.736;191.668;;
2025-04;330.857;170.752;;
2025-03;389.203;191.931;;
2025-02;455.369;192.762;;
2025-01;647.351;265.205;;
2024-12;260.022;98.163;;
2024-11;308.939;107.614;;
2024-10;365.584;105.862;;
2024-09;373.538;99.509;;
2024-08;368.785;93.466;;
2024-07;397.752;91.225;;
2024-06;333.054;69.601;;
2024-05;341.176;68.809;;
2024-04;367.152;69.778;;
2024-03;334.345;63.159;;
2024-02;353.690;61.851;;
2024-01;604.180;95.340;;
2023-12;230.923;37.952;;
2023-11;302.654;48.642;;
2023-10;310.372;44.657;;
2023-09;308.447;42.253;;
2023-08;319.185;44.302;;
2023-07;324.970;41.162;;
2023-06;307.463;37.004;;
2023-05;326.015;38.896;;
2023-04;285.893;33.379;;
2023-03;314.093;37.222;;
2023-02;306.844;33.785;;
2023-01;544.137;55.655;;
;;;;
"Filtros aplicados:
cohort_meses não é (Em branco)";;;;
